"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"City of Shelton Council Member No. 4","MA","Eric Onisko","Total","-1","903"
"City of Shelton Council Member No. 4","MA","Jason Coots","Total","-1","444"
"City of Shelton Council Member No. 4","MA","Eric Onisko","OLYMPIC VIEW","301","335"
"City of Shelton Council Member No. 4","MA","Jason Coots","OLYMPIC VIEW","301","147"
"City of Shelton Council Member No. 4","MA","Eric Onisko","DOWNTOWN","302","209"
"City of Shelton Council Member No. 4","MA","Jason Coots","DOWNTOWN","302","76"
"City of Shelton Council Member No. 4","MA","Eric Onisko","ANGLESIDE","303","214"
"City of Shelton Council Member No. 4","MA","Jason Coots","ANGLESIDE","303","132"
"City of Shelton Council Member No. 4","MA","Eric Onisko","HILLCREST","304","145"
"City of Shelton Council Member No. 4","MA","Jason Coots","HILLCREST","304","89"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","Total","-1","643"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","Total","-1","709"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","OLYMPIC VIEW","301","218"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","OLYMPIC VIEW","301","258"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","DOWNTOWN","302","148"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","DOWNTOWN","302","153"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","ANGLESIDE","303","167"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","ANGLESIDE","303","183"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","HILLCREST","304","110"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","HILLCREST","304","115"
"City of Shelton Council Member No. 6","MA","Bailee Syrek","Total","-1","553"
"City of Shelton Council Member No. 6","MA","Joe Schmit","Total","-1","810"
"City of Shelton Council Member No. 6","MA","Bailee Syrek","OLYMPIC VIEW","301","179"
"City of Shelton Council Member No. 6","MA","Joe Schmit","OLYMPIC VIEW","301","298"
"City of Shelton Council Member No. 6","MA","Bailee Syrek","DOWNTOWN","302","127"
"City of Shelton Council Member No. 6","MA","Joe Schmit","DOWNTOWN","302","172"
"City of Shelton Council Member No. 6","MA","Bailee Syrek","ANGLESIDE","303","145"
"City of Shelton Council Member No. 6","MA","Joe Schmit","ANGLESIDE","303","208"
"City of Shelton Council Member No. 6","MA","Bailee Syrek","HILLCREST","304","102"
"City of Shelton Council Member No. 6","MA","Joe Schmit","HILLCREST","304","132"
"City of Shelton Council Member No. 7","MA","Tracy Moore","Total","-1","633"
"City of Shelton Council Member No. 7","MA","Bob Rogers","Total","-1","754"
"City of Shelton Council Member No. 7","MA","Tracy Moore","OLYMPIC VIEW","301","209"
"City of Shelton Council Member No. 7","MA","Bob Rogers","OLYMPIC VIEW","301","276"
"City of Shelton Council Member No. 7","MA","Tracy Moore","DOWNTOWN","302","150"
"City of Shelton Council Member No. 7","MA","Bob Rogers","DOWNTOWN","302","151"
"City of Shelton Council Member No. 7","MA","Tracy Moore","ANGLESIDE","303","165"
"City of Shelton Council Member No. 7","MA","Bob Rogers","ANGLESIDE","303","199"
"City of Shelton Council Member No. 7","MA","Tracy Moore","HILLCREST","304","109"
"City of Shelton Council Member No. 7","MA","Bob Rogers","HILLCREST","304","128"
"San Juan County Public Hospital District #3 Hospital Commissioner 1","SJ","Richard Fralick","Total","-1","1456"
"San Juan County Public Hospital District #3 Hospital Commissioner 1","SJ","Richard Fralick","Orcas West","22","395"
"San Juan County Public Hospital District #3 Hospital Commissioner 1","SJ","Richard Fralick","Orcas Central","23","342"
"San Juan County Public Hospital District #3 Hospital Commissioner 1","SJ","Richard Fralick","Eastsound","24","372"
"San Juan County Public Hospital District #3 Hospital Commissioner 1","SJ","Richard Fralick","Orcas East","25","347"
"San Juan County Public Hospital District #3 Hospital Commissioner 2","SJ","Pegi Groundwater","Total","-1","1443"
"San Juan County Public Hospital District #3 Hospital Commissioner 2","SJ","Pegi Groundwater","Orcas West","22","375"
"San Juan County Public Hospital District #3 Hospital Commissioner 2","SJ","Pegi Groundwater","Orcas Central","23","334"
"San Juan County Public Hospital District #3 Hospital Commissioner 2","SJ","Pegi Groundwater","Eastsound","24","388"
"San Juan County Public Hospital District #3 Hospital Commissioner 2","SJ","Pegi Groundwater","Orcas East","25","346"
"San Juan County Public Hospital District #3 Hospital Commissioner 3","SJ","Arthur Lange","Total","-1","1574"
"San Juan County Public Hospital District #3 Hospital Commissioner 3","SJ","Leif","Total","-1","166"
