Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
KEN 47-0026,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Registered Voters,383
KEN 47-0026,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Counted,94
KEN 47-0026,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Under Voted,0
KEN 47-0026,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,<NP>,Rejected,53
KEN 47-0026,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,<NP>,Approved,41
KEN 47-0026,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Over Voted,0
KEN 47-0026,City of Kent Proposition A,47,5,9,Total,NP,Registered Voters,383
KEN 47-0026,City of Kent Proposition A,47,5,9,Total,NP,Times Counted,94
KEN 47-0026,City of Kent Proposition A,47,5,9,Total,NP,Times Under Voted,0
KEN 47-0026,City of Kent Proposition A,47,5,9,Total,<NP>,Approved,40
KEN 47-0026,City of Kent Proposition A,47,5,9,Total,<NP>,Rejected,54
KEN 47-0026,City of Kent Proposition A,47,5,9,Total,NP,Times Over Voted,0
KEN 47-0028,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Registered Voters,541
KEN 47-0028,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Counted,151
KEN 47-0028,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Under Voted,0
KEN 47-0028,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,<NP>,Rejected,99
KEN 47-0028,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,<NP>,Approved,52
KEN 47-0028,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Over Voted,0
KEN 47-0028,City of Kent Proposition A,47,5,9,Total,NP,Registered Voters,541
KEN 47-0028,City of Kent Proposition A,47,5,9,Total,NP,Times Counted,151
KEN 47-0028,City of Kent Proposition A,47,5,9,Total,NP,Times Under Voted,1
KEN 47-0028,City of Kent Proposition A,47,5,9,Total,<NP>,Approved,57
KEN 47-0028,City of Kent Proposition A,47,5,9,Total,<NP>,Rejected,93
KEN 47-0028,City of Kent Proposition A,47,5,9,Total,NP,Times Over Voted,0
ARTHUR,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Registered Voters,244
ARTHUR,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Times Counted,108
ARTHUR,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Times Under Voted,0
ARTHUR,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,<NP>,Yes,47
ARTHUR,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,<NP>,No,61
ARTHUR,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Times Over Voted,0
KEN 47-0229,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Registered Voters,800
KEN 47-0229,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Counted,177
KEN 47-0229,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Under Voted,1
KEN 47-0229,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,<NP>,Rejected,108
KEN 47-0229,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,<NP>,Approved,68
KEN 47-0229,Puget Sound Regional Fire Authority Proposition No. 1,47,5,9,Total,NP,Times Over Voted,0
KEN 47-0229,City of Kent Proposition A,47,5,9,Total,NP,Registered Voters,800
KEN 47-0229,City of Kent Proposition A,47,5,9,Total,NP,Times Counted,177
KEN 47-0229,City of Kent Proposition A,47,5,9,Total,NP,Times Under Voted,3
KEN 47-0229,City of Kent Proposition A,47,5,9,Total,<NP>,Approved,71
KEN 47-0229,City of Kent Proposition A,47,5,9,Total,<NP>,Rejected,103
KEN 47-0229,City of Kent Proposition A,47,5,9,Total,NP,Times Over Voted,0
KEN 47-0238,Puget Sound Regional Fire Authority Proposition No. 1,47,5,8,Total,NP,Registered Voters,822
KEN 47-0238,Puget Sound Regional Fire Authority Proposition No. 1,47,5,8,Total,NP,Times Counted,221
KEN 47-0238,Puget Sound Regional Fire Authority Proposition No. 1,47,5,8,Total,NP,Times Under Voted,0
KEN 47-0238,Puget Sound Regional Fire Authority Proposition No. 1,47,5,8,Total,<NP>,Rejected,123
KEN 47-0238,Puget Sound Regional Fire Authority Proposition No. 1,47,5,8,Total,<NP>,Approved,98
KEN 47-0238,Puget Sound Regional Fire Authority Proposition No. 1,47,5,8,Total,NP,Times Over Voted,0
KEN 47-0238,City of Kent Proposition A,47,5,8,Total,NP,Registered Voters,822
KEN 47-0238,City of Kent Proposition A,47,5,8,Total,NP,Times Counted,221
KEN 47-0238,City of Kent Proposition A,47,5,8,Total,NP,Times Under Voted,0
KEN 47-0238,City of Kent Proposition A,47,5,8,Total,<NP>,Approved,108
KEN 47-0238,City of Kent Proposition A,47,5,8,Total,<NP>,Rejected,113
KEN 47-0238,City of Kent Proposition A,47,5,8,Total,NP,Times Over Voted,0
B-D 05-0239,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Registered Voters,0
B-D 05-0239,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Times Counted,0
B-D 05-0239,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,NP,Times Under Voted,0
B-D 05-0239,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,<NP>,Yes,0
B-D 05-0239,Tahoma School District No. 409 Proposition No. 1,5,9,8,Total,<NP>,No,0
