"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, Yes","","88","75.2137","SCHOOL DISTRICT 109 - WASHTUCNA"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, No","","29","24.7863","SCHOOL DISTRICT 109 - WASHTUCNA"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, Yes","","180","72","SCHOOL DISTRICT 158 - LIND"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, No","","70","28","SCHOOL DISTRICT 158 - LIND"
"Adams","SCHOOL DISTRICT 161 - WARDEN PROPOSITION NO. 1 REPLACEMENT MAINTENANCE AND OPERATION LEVY","LEVY...YES","","4","36.3636","SCHOOL DISTRICT 161 - WARDEN"
"Adams","SCHOOL DISTRICT 161 - WARDEN PROPOSITION NO. 1 REPLACEMENT MAINTENANCE AND OPERATION LEVY","LEVY... NO","","7","63.6364","SCHOOL DISTRICT 161 - WARDEN"
"Adams","SCHOOL DISTRICT 162 - N FRANKLIN Proposition No. 1 Replacement of Expiring Maintenance and Operation Levy","Levy Yes","","15","68.1818","SCHOOL DISTRICT 162 - N FRANKLIN"
"Adams","SCHOOL DISTRICT 162 - N FRANKLIN Proposition No. 1 Replacement of Expiring Maintenance and Operation Levy","Levy No","","7","31.8182","SCHOOL DISTRICT 162 - N FRANKLIN"
"Adams","SCHOOL DISTRICT 308 - ENDICOTT Endicott School District No. 308 Proposition 1 Replacement Maintenance and Operation Levy","Yes","","0","0","SCHOOL DISTRICT 308 - ENDICOTT"
"Adams","SCHOOL DISTRICT 308 - ENDICOTT Endicott School District No. 308 Proposition 1 Replacement Maintenance and Operation Levy","No","","0","0","SCHOOL DISTRICT 308 - ENDICOTT"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, Yes","","574","67.8487","SCHOOL DISTRICT 160 - RITZVILLE"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, No","","272","32.1513","SCHOOL DISTRICT 160 - RITZVILLE"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 2 Bonds to Modernize, Improve and Construct School Facilities","Approved","","409","48.8067","SCHOOL DISTRICT 160 - RITZVILLE"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 2 Bonds to Modernize, Improve and Construct School Facilities","Rejected","","429","51.1933","SCHOOL DISTRICT 160 - RITZVILLE"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 1 Replacement Maintenance and Operation Levy","LEVY...YES","","13","59.0909","SCHOOL DISTRICT 157 - ODESSA"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 1 Replacement Maintenance and Operation Levy","LEVY...NO","","9","40.9091","SCHOOL DISTRICT 157 - ODESSA"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 2 Replacement Capital Levy for School Improvements","LEVY...YES","","12","54.5455","SCHOOL DISTRICT 157 - ODESSA"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 2 Replacement Capital Levy for School Improvements","LEVY...NO","","10","45.4545","SCHOOL DISTRICT 157 - ODESSA"
"Asotin","SCHOOL DISTRICT 420 Replacement Maintenance and Operation Levy Proposition 1","Yes, Levy","","645","64.1153","SCHOOL DISTRICT 420"
"Asotin","SCHOOL DISTRICT 420 Replacement Maintenance and Operation Levy Proposition 1","No, Levy","","361","35.8847","SCHOOL DISTRICT 420"
