Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ADAIR,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,No,15
ADAIR,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Registered Voters,170
ADAIR,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Times Blank Voted,0
ADAIR,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Times Counted,92
ADAIR,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Times Over Voted,0
ADAIR,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Yes,77
ADAIR,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Approved,105
ADAIR,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Registered Voters,329
ADAIR,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Rejected,99
ADAIR,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Times Blank Voted,1
ADAIR,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Times Counted,205
ADAIR,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Times Over Voted,0
ALDARRA,Proposed Eastside Regional Fire Authority Proposition No. 1,5,3,8,Total,NP,No,21
ALDARRA,Proposed Eastside Regional Fire Authority Proposition No. 1,5,3,8,Total,NP,Registered Voters,124
ALDARRA,Proposed Eastside Regional Fire Authority Proposition No. 1,5,3,8,Total,NP,Times Blank Voted,0
ALDARRA,Proposed Eastside Regional Fire Authority Proposition No. 1,5,3,8,Total,NP,Times Counted,40
ALDARRA,Proposed Eastside Regional Fire Authority Proposition No. 1,5,3,8,Total,NP,Times Over Voted,0
ALDARRA,Proposed Eastside Regional Fire Authority Proposition No. 1,5,3,8,Total,NP,Yes,19
ALDER SPRINGS,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,No,14
ALDER SPRINGS,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Registered Voters,119
ALDER SPRINGS,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Times Blank Voted,0
ALDER SPRINGS,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Times Counted,35
ALDER SPRINGS,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Times Over Voted,0
ALDER SPRINGS,King County Fire Protection District No. 45 Proposition No. 1,45,3,1,Total,NP,Yes,21
ALDERWOOD,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Approved,131
ALDERWOOD,Lake Washington School District No. 414 Proposition No. 1,45,3,1,Total,NP,Registered Voters,439
