"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","Total","-1","3662"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-515","28515","215"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-516","28516","196"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-517","28517","245"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-518","28518","205"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-519","28519","238"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-520","28520","245"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-521","28521","224"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-522","28522","265"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-523","28523","241"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-524","28524","247"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-525","28525","268"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-526","28526","178"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-527","28527","272"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-528","28528","223"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-529","28529","156"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-530","28530","57"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 1","PI","Scott Traynor","28-531","28531","187"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","Total","-1","3629"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-515","28515","216"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-516","28516","198"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-517","28517","239"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-518","28518","202"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-519","28519","234"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-520","28520","242"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-521","28521","223"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-522","28522","262"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-523","28523","240"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-524","28524","245"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-525","28525","269"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-526","28526","178"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-527","28527","266"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-528","28528","217"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-529","28529","151"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-530","28530","59"
"PROPOSED UP METROPOLITAN PARK DISTRICT Commissioner Pos. 2","PI","Paul Castillo","28-531","28531","188"
