COUNTY,PRECINCT,POSITION,DISTRICT CODE,PARTY,CANDIDATE NAME,VOTES
Spokane,3100,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,714
Spokane,3101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,614
Spokane,3102,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,876
Spokane,3103,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,633
Spokane,3104,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,774
Spokane,3105,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,741
Spokane,3106,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,732
Spokane,3107,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,901
Spokane,3108,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,980
Spokane,3109,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,878
Spokane,3110,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,742
Spokane,3111,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,857
Spokane,3112,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,776
Spokane,3113,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,499
Spokane,3114,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,638
Spokane,3115,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,703
Spokane,3116,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,893
Spokane,3117,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,834
Spokane,3118,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,757
Spokane,3119,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,863
Spokane,3120,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,908
Spokane,3121,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,811
Spokane,3122,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,678
Spokane,3123,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,764
Spokane,3124,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1039
Spokane,3125,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,730
Spokane,3126,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,955
Spokane,3127,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1127
Spokane,3128,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,771
Spokane,3129,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,953
Spokane,3130,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,458
Spokane,3131,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,954
Spokane,3132,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,660
Spokane,3133,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,789
Spokane,3134,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,870
Spokane,3135,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,599
Spokane,3136,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,744
Spokane,3137,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,769
Spokane,3138,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,902
Spokane,3139,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,746
Spokane,3140,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,838
Spokane,3141,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,711
Spokane,3142,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,683
Spokane,3143,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,870
Spokane,3144,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,927
Spokane,3145,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,632
Spokane,3146,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1009
Spokane,3147,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,895
Spokane,3148,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,648
Spokane,3149,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,972
Spokane,3150,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,940
Spokane,3151,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,873
Spokane,3152,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1035
Spokane,3153,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,843
Spokane,3154,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,603
Spokane,3155,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1005
Spokane,3156,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,926
Spokane,3157,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1045
Spokane,3158,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1036
Spokane,3159,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,938
Spokane,3160,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1094
Spokane,3161,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,681
Spokane,3162,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,696
Spokane,3163,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,635
Spokane,3164,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,632
Spokane,3165,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,758
Spokane,4000,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,909
Spokane,4001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1187
