Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Approved,226
BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Registered Voters,649
BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Rejected,84
BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Blank Voted,0
BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Counted,310
BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Over Voted,0
BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Approved,170
BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Registered Voters,449
BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Rejected,67
BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Blank Voted,1
BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Counted,238
BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Over Voted,0
BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Approved,103
BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Registered Voters,277
BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Rejected,50
BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Blank Voted,0
BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Counted,153
BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Over Voted,0
CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Approved,176
CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Registered Voters,454
CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Rejected,51
CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Blank Voted,0
CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Counted,227
CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Over Voted,0
CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Approved,177
CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Registered Voters,426
CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Rejected,55
CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Blank Voted,0
CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Counted,232
CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Times Over Voted,0
COLVOS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",34,8,7,Total,NP,Approved,123
