"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","Total","-1","15535"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","Total","-1","14752"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","Total","-1","32613"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3000","3000","0"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3000","3000","0"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3000","3000","0"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3100","3100","49"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3100","3100","33"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3100","3100","46"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3101","3101","36"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3101","3101","35"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3101","3101","48"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3102","3102","38"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3102","3102","27"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3102","3102","40"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3103","3103","36"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3103","3103","23"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3103","3103","23"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3104","3104","42"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3104","3104","36"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3104","3104","66"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3105","3105","47"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3105","3105","34"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3105","3105","51"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3106","3106","39"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3106","3106","46"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3106","3106","60"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3107","3107","52"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3107","3107","38"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3107","3107","76"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3108","3108","37"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3108","3108","30"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3108","3108","51"
"Spokane Superior Court - Judge Position 6","SP","Jocelyn Cook","PCT 3109","3109","39"
"Spokane Superior Court - Judge Position 6","SP","J. Scott Miller","PCT 3109","3109","29"
"Spokane Superior Court - Judge Position 6","SP","Tony Hazel","PCT 3109","3109","63"
