"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","George LeBoutillier","Total","-1","184"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","Rebecca Presley","Total","-1","638"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","Phil Paige","Total","-1","200"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","George LeBoutillier","Lopez North","31","109"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","Rebecca Presley","Lopez North","31","372"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","Phil Paige","Lopez North","31","112"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","George LeBoutillier","Lopez South","32","75"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","Rebecca Presley","Lopez South","32","266"
"San Juan County Public Hospital District #2 Hospital Commissioner 2","SJ","Phil Paige","Lopez South","32","88"
"San Juan County Public Hospital District #2 Hospital Commissioner 3","SJ","Iris Graville","Total","-1","1045"
"San Juan County Public Hospital District #2 Hospital Commissioner 3","SJ","Iris Graville","Lopez North","31","603"
"San Juan County Public Hospital District #2 Hospital Commissioner 3","SJ","Iris Graville","Lopez South","32","442"
"San Juan County Public Hospital District #2 Hospital Commissioner 1","SJ","Christa Campbell","Total","-1","1043"
"San Juan County Public Hospital District #2 Hospital Commissioner 1","SJ","Christa Campbell","Lopez North","31","597"
"San Juan County Public Hospital District #2 Hospital Commissioner 1","SJ","Christa Campbell","Lopez South","32","446"
"San Juan County Public Hospital District #2 Hospital Commissioner 4","SJ","James Orcutt","Total","-1","611"
"San Juan County Public Hospital District #2 Hospital Commissioner 4","SJ","Kirman Taylor","Total","-1","457"
"San Juan County Public Hospital District #2 Hospital Commissioner 4","SJ","James Orcutt","Lopez North","31","357"
"San Juan County Public Hospital District #2 Hospital Commissioner 4","SJ","Kirman Taylor","Lopez North","31","253"
"San Juan County Public Hospital District #2 Hospital Commissioner 4","SJ","James Orcutt","Lopez South","32","254"
"San Juan County Public Hospital District #2 Hospital Commissioner 4","SJ","Kirman Taylor","Lopez South","32","204"
"San Juan County Public Hospital District #2 Hospital Commissioner 5","SJ","Albert Berger","Total","-1","948"
"San Juan County Public Hospital District #2 Hospital Commissioner 5","SJ","Albert Berger","Lopez North","31","551"
"San Juan County Public Hospital District #2 Hospital Commissioner 5","SJ","Albert Berger","Lopez South","32","397"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","Total","-1","1093"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","Total","-1","1373"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","CONCONULLY RURAL","10","17"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","CONCONULLY RURAL","10","16"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","DUCK LAKE","11","5"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","DUCK LAKE","11","25"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","MISSION","23","23"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","MISSION","23","5"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","NORTH OMAK","29","17"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","NORTH OMAK","29","10"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","POGUE","32","22"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","POGUE","32","61"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","RIVERSIDE RURAL","33","32"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","RIVERSIDE RURAL","33","46"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","TUNK CREEK","38","34"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","TUNK CREEK","38","48"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","DISAUTEL","51","13"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","DISAUTEL","51","4"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","HUDSON","52","7"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","HUDSON","52","14"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","COPPLE","59","22"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","COPPLE","59","42"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","ENGH","61","24"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","ENGH","61","34"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","SAND FLAT","72","30"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","SAND FLAT","72","44"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Approved","CANAL","79","9"
"OMAK SCHOOL 19 Proposition No. 1 Bonds To Construct A New Middle School","OK","Rejected","CANAL","79","24"
